Type,Number,Lat,Lng,Facing,Neighborhood,R1.Arrow,R1.Destination,R1.ttd,R2.Arrow,R2.Destination,R2.ttd,R3.Arrow,R3.Destination,R3.ttd,R4.Arrow,R4.Destination,R4.ttd,R5.Arrow,R5.Destination,R5.ttd,R6.Arrow,R6.Destination,R6.ttd,R7.Arrow,R7.Destination,R7.ttd,R8.Arrow,R8.Destination,R8.ttd
SD,2,40.01149515,-105.2759416,Grandview,Grandview,,,,,,,,,,,,,,,,,,,,,,,,
SD,3,40.00785438,-105.2738912,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,4,40.00558405,-105.2694645,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,5,40.00659023,-105.2665504,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,6,40.005634,-105.2665655,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,7,40.00726497,-105.2670186,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,8,40.00602729,-105.2649145,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,9,40.00603114,-105.2646376,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,10,40.00535639,-105.2614009,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,11,40.00329351,-105.2626241,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,12,40.0034516,-105.2601928,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,13,40.00259944,-105.2619999,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,14,40.00183211,-105.2605703,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,15,40.00171257,-105.2626593,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,16,40.00058661,-105.2604143,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,17,39.99903993,-105.2523984,Williams Village,Williams Village,,,,,,,,,,,,,,,,,,,,,,,,
SD,18,39.99915261,-105.2511891,Williams Village,Williams Village,,,,,,,,,,,,,,,,,,,,,,,,
SD,19,39.99911922,-105.2497073,Williams Village,Williams Village,,,,,,,,,,,,,,,,,,,,,,,,
SD,20,39.99848489,-105.251456,Williams Village,Williams Village,,,,,,,,,,,,,,,,,,,,,,,,
SD,21,39.99666533,-105.2506388,Williams Village,Williams Village,,,,,,,,,,,,,,,,,,,,,,,,
SD,22,40.01375481,-105.2499128,East Campus,East Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,23,40.01372257,-105.2471555,East Campus,East Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,24,40.01190694,-105.2525648,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,25,40.01276772,-105.2535059,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,26,40.01084267,-105.2525461,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,27,40.0094676,-105.2489141,East Campus,East Campus,,,,,,,,,,,,,,,,,,,,,,,,
SD,28,40.00949404,-105.249943,East Campus,East Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,1,40.01045155,-105.2760595,Grandview,Grandview,,,,,,,,,,,,,,,,,,,,,,,,
M,7,40.01057227,-105.2721822,Grandview,Grandview,,,,,,,,,,,,,,,,,,,,,,,,
M,8,40.00949124,-105.2759857,Grandview,Grandview,,,,,,,,,,,,,,,,,,,,,,,,
M,9,40.01318641,-105.2701837,Grandview,Grandview,,,,,,,,,,,,,,,,,,,,,,,,
M,10,40.01275496,-105.2638466,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,11,40.01051615,-105.2653309,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,12,40.00817416,-105.2640521,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,13,40.00836438,-105.2670825,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,14,40.00751911,-105.2746542,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,15,40.00616464,-105.2719976,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,16,40.00604058,-105.2704557,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,17,40.00604554,-105.2696265,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,18,40.00646734,-105.2702419,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,19,40.00504315,-105.2696589,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,20,40.00724184,-105.2621509,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,21,40.007184,-105.2589243,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
M,22,40.00230639,-105.2645269,Main Campus,Main Campus,,,,,,,,,,,,,,,,,,,,,,,,
